player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
Danny Woodhead - BAL,RB,32,10,67.038,6.94396110225404,67.038,10.6684084495209
Jameis Winston - TB,QB,23,11,67.972,17.1918926751022,67.972,17.1918926751022
Martellus Bennett - GB,TE,30,8,68.19,6.601144912464,68.19,10.4978691889913
DeSean Jackson - TB,WR,31,11,68.256,7.64209855485164,68.256,11.1924477308967
Dak Prescott - DAL,QB,24,6,68.324,17.2763279883756,68.324,17.2763279883756
Paul Perkins - NYG,RB,23,8,69.236,8.77107717695661,69.236,10.5559520764743
Julian Edelman - NE,WR,31,9,70.312,3.26244675334378,70.312,3.26244675334378
Tevin Coleman - ATL,RB,24,5,71,8.57135070153824,71,10.5824565094161
Mike Gillislee - NE,RB,27,9,72.2425,8.46651011311936,72.2425,9.26186531810328
Doug Martin - TB,RB,28,11,72.72,6.98956047391167,72.72,8.32727148677341
Willie Snead - NO,WR,25,5,73.31,7.79311878803287,73.31,12.6158805444637
Broncos - DEN,D/ST,NA,5,73.65,11.4166308903489,73.65,11.4166308903489
Kareem Hunt - KC,RB,22,10,75.228,8.99611660831074,75.228,11.1356991042914
Seahawks - SEA,D/ST,NA,6,76.0133,10.6703590847304,76.0133,10.6703590847304
Pierre Garcon - SF,WR,31,11,77.308,7.80091474214623,77.308,12.7008670130466
Rob Kelley - WAS,RB,25,5,77.392,8.21793818590642,77.392,9.24392291259452
Kyle Rudolph - MIN,TE,28,9,77.7425,7.18354132248185,77.7425,11.8905876448291
Justin Tucker - BAL,K,28,10,79.284,9.97243932092698,79.284,9.97243932092698
Donte Moncrief - IND,WR,24,11,79.378,7.43329793711428,79.378,11.4861516348635
Stephen Gostkowski - NE,K,33,9,79.704,9.60659912587345,79.704,9.60659912587345
Eric Decker - TEN,WR,30,8,79.724,7.47964953467946,79.724,11.1421972637791
Ben Roethlisberger - PIT,QB,35,9,79.784,16.354122857729,79.784,16.354122857729
DeVante Parker - MIA,WR,24,11,79.946,7.74248852429784,79.946,11.7564430058091
Zach Ertz - PHI,TE,27,10,80.156,6.80304148973568,80.156,11.4797898820186
Jeremy Maclin - BAL,WR,29,10,83.366,6.79787368955806,83.366,11.0779807032237
Chiefs - KC,D/ST,NA,10,83.6333,10.9560673425464,83.6333,10.9560673425464
Darren McFadden - DAL,RB,30,6,84.152,6.19602477692468,84.152,7.58555703174784
Randall Cobb - GB,WR,27,8,85.126,7.79377678028842,85.126,12.4769510166228
Derek Carr - OAK,QB,26,10,85.3625,16.4707372118895,85.3625,16.4707372118895
Theo Riddick - DET,RB,26,7,87.624,6.6996002210123,87.624,10.7088395698869
Terrance West - BAL,RB,26,10,88.012,7.97791659855953,88.012,9.84596071029587
Texans - HOU,D/ST,NA,7,88.5067,6.95101863389216,88.5067,6.95101863389216
Matt Bryant - ATL,K,42,5,88.674,9.64158735890312,88.674,9.64158735890312
Matthew Stafford - DET,QB,29,7,89.078,16.6998573008955,89.078,16.6998573008955
Jonathan Stewart - CAR,RB,30,11,89.22,7.75309618784993,89.22,8.40096093865379
Dan Bailey - DAL,K,29,6,91.748,8.89338010734262,91.748,8.89338010734262
Tyrell Williams - LAC,WR,NA,8,91.834,7.3338599900689,91.834,10.920552898995
Hunter Henry - LAC,TE,23,8,93.114,6.06939923041433,93.114,9.27037906729697
Vikings - MIN,D/ST,NA,9,93.7433,6.97587987086543,93.7433,6.97587987086543
Latavius Murray - MIN,RB,27,9,94.662,5.90915513854889,94.662,7.20802953175277
Steven Hauschka - BUF,K,NA,6,94.755,7.5504005114113,94.755,7.5504005114113
Philip Rivers - LAC,QB,36,8,94.848,15.9628387872262,94.848,15.9628387872262
Samaje Perine - WAS,RB,22,5,95.304,4.79300732794325,95.304,5.56644231588537
Jack Doyle - IND,TE,27,11,95.622,5.49946152472673,95.622,9.19343258581998
Corey Davis - TEN,WR,22,8,95.952,6.03300345488411,95.952,9.38912031581658
Rishard Matthews - TEN,WR,28,8,96.284,7.38086812601767,96.284,10.9347718639598
Shane Vereen - NYG,RB,28,8,96.3,5.3741136845164,96.3,8.17313977674941
Patriots - NE,D/ST,NA,9,97.22,10.923499943362,97.22,10.923499943362
Cardinals - ARI,D/ST,NA,8,97.5467,7.6869361690077,97.5467,7.6869361690077
