"","player","week","fantpt"
"378","Matt Ryan","2",10
"379","Rueben Randle","2",9.9
"380","Julius Thomas","2",9.9
"381","Martellus Bennett","2",9.7
"382","Austin Davis","2",9.4
"383","Percy Harvin","2",9
"384","Montee Ball","2",8.9
"385","Rashad Jennings","2",8.9
"386","Darrel Young","2",8.7
"387","Zach Ertz","2",8.6
"388","Calvin Johnson","2",8.3
"389","DeAndre Hopkins","2",8.2
"390","Larry Donnell","2",8.1
"391","Travis Kelce","2",8.1
"392","C.J. Spiller","2",7.8
"393","Joique Bell","2",7.7
"394","Andre Roberts","2",7.6
"395","Trent Richardson","2",7.5
"396","Allen Robinson","2",7.5
"397","Andre Johnson","2",7.4
"398","Brian Quick","2",7.4
"399","Jack Doyle","2",7.2
"400","Justin Forsett","2",7.2
"401","Greg Olsen","2",7.2
"402","Steve Smith","2",7.1
"403","Andrew Hawkins","2",7
"404","Eddie Royal","2",6.9
"405","Ben Roethlisberger","2",6.7
"406","Jerricho Cotchery","2",6.6
"407","T.Y. Hilton","2",6.5
"408","Drew Stanton","2",6.5
"409","Jacob Tamme","2",6.4
"410","Jed Collins","2",6.3
"411","Daniel Fells","2",6.1
"412","Jermaine Kearse","2",6.1
"413","Eddie Lacy","2",6.1
"414","J.J. Watt","2",6.1
"415","Victor Cruz","2",6
"416","Markus Wheaton","2",6
"417","Danny Woodhead","2",6
"418","Jeremy Kerley","2",5.9
"419","Matt Cassel","2",5.7
"420","Isaiah Crowell","2",5.7
"421","Ryan Grant","2",5.7
"422","Ryan Mathews","2",5.7
"423","Golden Tate","2",5.7
"424","Cordarrelle Patterson","2",5.6
"425","Keenan Allen","2",5.5
"426","Steven Jackson","2",5.3
"427","Lamar Miller","2",5.3
"428","Kyle Rudolph","2",5.3
"429","Larry Fitzgerald","2",5.1
"430","Fred Jackson","2",5.1
"431","Vincent Jackson","2",5.1
"432","Davante Adams","2",5
"433","Brandon Tate","2",5
"434","Mike Evans","2",4.9
"435","Brandin Cooks","2",4.8
"436","Bilal Powell","2",4.8
"437","Alshon Jeffery","2",4.7
"438","Kelvin Benjamin","2",4.6
"439","Jared Cook","2",4.6
"440","Austin Pettis","2",4.6
"441","Andre Holmes","2",4.5
"442","John Carlson","2",4.3
"443","Dane Sanzenbacher","2",4.2
