"year","player","pos","value","pick"
2013,"DeAngelo Williams","RB",13,29
2014,"DeAngelo Williams","RB",2,45
2015,"DeAngelo Williams","RB",8,49
2011,"Deion Branch","WR",1,55
2015,"Delanie Walker","TE",3,10
2012,"DeMarco Murray","RB",69,7
2013,"DeMarco Murray","RB",32,19
2014,"DeMarco Murray","RB",71,8
2015,"DeMarco Murray","RB",69,8
2012,"Denarius Moore","WR",14,42
2013,"Denarius Moore","WR",4,55
2014,"Dennis Pitta","TE",4,9
2015,"Derek Carr","QB",17,25
2010,"Derrick Mason","WR",7,39
2010,"DeSean Jackson","WR",35,10
2011,"DeSean Jackson","WR",37,9
2012,"DeSean Jackson","WR",37,21
2013,"DeSean Jackson","WR",26,23
2014,"DeSean Jackson","WR",26,23
2015,"DeSean Jackson","WR",13,30
2015,"DeVante Parker","WR",2,47
2010,"Devery Henderson","WR",1,63
2010,"Devin Aromashodu","WR",1,37
2015,"Devin Funchess","WR",13,38
2015,"Devonta Freeman","RB",1,42
2010,"Dez Bryant","WR",13,31
2011,"Dez Bryant","WR",46,14
2012,"Dez Bryant","WR",36,13
2013,"Dez Bryant","WR",58,2
2014,"Dez Bryant","WR",78,3
2015,"Dez Bryant","WR",84,1
2010,"Donald Brown","RB",5,40
2012,"Donald Brown","RB",7,27
2010,"Donald Driver","WR",22,25
2011,"Donald Driver","WR",1,49
2010,"Donovan McNabb","QB",7,15
2011,"Donovan McNabb","QB",13,20
2012,"Doug Martin","RB",10,15
2014,"Doug Martin","RB",73,10
2015,"Doug Martin","RB",11,18
2010,"Drew Brees","QB",78,2
2011,"Drew Brees","QB",76,5
2012,"Drew Brees","QB",102,3
2013,"Drew Brees","QB",101,1
2014,"Drew Brees","QB",106,2
2015,"Drew Brees","QB",85,4
2015,"Duke Johnson","RB",8,44
2011,"Dustin Keller","TE",1,19
2015,"Dwayne Allen","TE",1,14
2010,"Dwayne Bowe","WR",20,18
2011,"Dwayne Bowe","WR",41,12
2012,"Dwayne Bowe","WR",26,25
2013,"Dwayne Bowe","WR",27,14
2014,"Dwayne Bowe","WR",2,43
2010,"Early Doucet","WR",1,69
2013,"Eddie Lacy","RB",30,20
2010,"Eddie Royal","WR",1,41
2015,"Eddie Royal","WR",1,39
2013,"EJ Manuel","QB",1,23
2010,"Eli Manning","QB",17,13
2011,"Eli Manning","QB",42,13
2012,"Eli Manning","QB",49,8
2013,"Eli Manning","QB",56,14
2015,"Eli Manning","QB",60,13
2013,"Emmanuel Sanders","WR",4,46
2014,"Emmanuel Sanders","WR",17,16
2015,"Emmanuel Sanders","WR",36,16
2012,"Eric Decker","WR",21,18
2013,"Eric Decker","WR",18,24
2014,"Eric Decker","WR",10,37
2015,"Eric Decker","WR",6,41
2010,"Felix Jones","RB",20,26
2011,"Felix Jones","RB",24,16
2010,"Frank Gore","RB",81,5
2011,"Frank Gore","RB",62,11
2012,"Frank Gore","RB",29,20
2013,"Frank Gore","RB",61,18
2014,"Frank Gore","RB",44,22
2015,"Frank Gore","RB",41,13
2012,"Fred Davis","TE",22,9
2010,"Fred Jackson","RB",10,41
2011,"Fred Jackson","RB",20,29
2012,"Fred Jackson","RB",45,12
2013,"Fred Jackson","RB",2,37
