"","year","owner","player","team","pos","value","keeper"
"438","2012","Higdon","Beanie Wells","Ari"," RB",18,0
"439","2012","Higdon","Malcom Floyd","SD"," WR",9,0
"440","2012","Higdon","Stephen Gostkowski","NE"," K",2,0
"441","2012","Higdon","Reggie Wayne","Ind"," WR",9,0
"442","2012","Higdon","Kevin Smith","Det"," RB",12,0
"443","2012","Higdon","Texans D/ST","Hou"," D/",6,0
"444","2012","Higdon","Ravens D/ST","Bal"," D/",7,0
"445","2012","Higdon","David Wilson","NYG"," RB",6,0
"446","2012","Higdon","Saints Coach","NO"," HC",3,0
"447","2012","Higdon","Darrius Heyward-Bey","Oak"," WR",3,0
"448","2012","Higdon","Christian Ponder","Min"," QB",1,0
