"X","year","name","pos","team","overall","pick"
500,2012,"Mikel Leshoure","RB","DET",103.5,43
501,2012,"Danny Amendola","WR","NE",105.1,39
502,2012,"Sidney Rice","WR","SEA",105.8,40
503,2012,"Jacob Tamme","TE","DEN",107,11
504,2012,"Greg Olsen","TE","CAR",107.7,12
505,2012,"Andrew Luck","QB","IND",108,16
506,2012,"Kendall Wright","WR","TEN",111,41
507,2012,"Denarius Moore","WR","OAK",111.2,42
508,2012,"Robert Meachem","WR","NO",113.2,43
509,2012,"Michael Crabtree","WR","SF",114.8,44
510,2012,"Joe Flacco","QB","BAL",115.1,17
511,2012,"Baltimore Defense","DEF","BAL",117.7,2
512,2012,"Rashard Mendenhall","RB","ARI",118.2,44
513,2012,"Santonio Holmes","WR","FA",118.3,45
514,2012,"Russell Wilson","QB","SEA",119.5,18
515,2012,"Greg Little","WR","OAK",121,46
516,2012,"Philadelphia Defense","DEF","PHI",121.8,3
