"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"Justin Forsett","RB",89.9,8.06,11,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1719564258701
"Kamar Aiken","WR",129.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21700049816681
"Karlos Williams","RB",127.9,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8576736979953
"Keenan Allen","WR",23.3,2.11,23,11,NA,NA,NA,54.2,31.3,NA,NA,NA,NA,NA,NA,NA,NA,59.9399525944501
"Kelvin Benjamin","WR",41,4.05,NA,35,NA,NA,NA,NA,85.5,NA,NA,NA,NA,NA,NA,NA,NA,30.339523403021
"Kenneth Dixon","RB",127.8,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8576736979953
"Kevin White","WR",93.6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5235204697534
"Kirk Cousins","QB",62.6,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,24.4335594053928
"Ladarius Green","TE",98.3,9.02,NA,13,NA,NA,NA,NA,134.2,NA,NA,NA,NA,NA,NA,NA,NA,12.9286014085248
"Lamar Miller","RB",15,2.03,12,32,21,NA,NA,21.2,78.2,32.7,NA,NA,65,2,23,NA,NA,68.0716414522154
"Laquon Treadwell","WR",124.9,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.000699159305
"Larry Fitzgerald","WR",75.3,7.03,36,15,7,3,4,89.5,40.3,28.9,22.5,15.6,10,46,44,65,92,23.1563596020906
"Latavius Murray","RB",46.2,4.1,15,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0098233693136
"LeGarrette Blount","RB",113,10.05,28,49,NA,45,15,61.7,129.8,NA,122,28.7,11,1,NA,2,35,14.9263984865019
"LeSean McCoy","RB",31.2,3.07,10,1,7,3,6,19.4,1.6,5.9,5.3,7.9,NA,NA,NA,NA,NA,43.1235411178647
"Le'Veon Bell","RB",6.3,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,76.9122149792439
"Marcus Mariota","QB",85.3,8.01,22,NA,NA,NA,NA,155.5,NA,NA,NA,NA,26,NA,NA,NA,NA,19.017244598491
"Mark Ingram","RB",30.2,3.06,14,40,35,36,22,28.4,94.7,82.8,88,46.8,35,1,6,8,23,42.1929920150187
"Markus Wheaton","WR",108.8,10.01,37,48,60,NA,NA,90,122.9,158.5,NA,NA,NA,1,NA,NA,NA,16.113271395069
"Martellus Bennett","TE",142.8,12.11,5,12,18,NA,NA,64.8,117.8,152.8,NA,NA,14,1,1,NA,NA,14.5193716033121
"Marvin Jones","WR",98.2,9.02,56,NA,NA,NA,NA,140.4,NA,NA,NA,NA,4,NA,NA,NA,NA,14.4764825332374
"Matt Forte","RB",42.4,4.06,9,4,11,6,13,14.6,4.2,12.1,10.3,23.5,68,84,62,NA,41,41.6838814840948
"Matthew Stafford","QB",52.4,5.04,11,4,8,4,11,87.9,39.2,66.7,12,78.1,71,75,88,NA,33,44.7759718863818
"Matt Jones","RB",61,6.01,51,NA,NA,NA,NA,132.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2704468840902
"Matt Ryan","QB",76.8,7.05,8,7,6,6,9,74.6,62.6,54.5,34.2,61.3,61,58,75,71,NA,40.3045882366295
"Melvin Gordon","RB",77.7,7.06,20,NA,NA,NA,NA,39.8,NA,NA,NA,NA,36,NA,NA,NA,NA,25.5935331126837
"Michael Crabtree","WR",99.8,9.04,58,22,62,44,41,143.2,52.4,159.6,114.8,108.6,1,31,NA,7,15,18.3907071613921
"Michael Floyd","WR",64.8,6.05,51,21,43,NA,NA,127.2,49.5,112.3,NA,NA,4,17,1,NA,NA,22.0613601695474
"Michael Thomas","WR",156.8,14.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Mike Evans","WR",27.4,3.03,13,41,NA,NA,NA,30.3,105.5,NA,NA,NA,NA,5,NA,NA,NA,42.6472537821397
"Mike Wallace","WR",154.5,13.11,35,32,26,20,8,86.8,76.1,67.6,51.2,23.9,22,13,31,46,NA,16.014144856446
"Mohamed Sanu","WR",132.7,12.01,NA,NA,57,NA,NA,NA,NA,150.7,NA,NA,NA,NA,NA,NA,NA,9.58988485152639
"Odell Beckham Jr","WR",3.5,1.03,5,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8881350819161
"Paul Perkins","RB",161.2,14.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Philip Rivers","QB",42.1,4.06,14,14,24,11,4,110.1,103.1,159.7,73.1,25.1,NA,42,18,72,68,33.4820631012789
"Phillip Dorsett","WR",160.3,14.04,63,NA,NA,NA,NA,158.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.76667498320751
"Pierre Garcon","WR",162.7,14.07,49,20,18,30,34,123.7,48.2,48.8,75.6,92.9,1,26,13,8,18,12.5880452657985
"Randall Cobb","WR",47.1,4.11,8,10,9,NA,NA,19,28.1,32,NA,NA,NA,NA,NA,NA,NA,34.5676453617027
"Rashad Jennings","RB",94.4,8.1,30,18,NA,NA,NA,67.8,36.4,NA,NA,NA,28,22,NA,NA,1,18.642640961803
"Rishard Matthews","WR",157.2,14.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Robert Griffin III","QB",138.6,12.07,NA,13,10,14,NA,NA,100.2,74.8,94.9,NA,NA,50,45,29,NA,16.4706839606233
"Rob Gronkowski","TE",17.4,2.05,1,3,2,2,10,12.2,30,44.4,19.7,98.1,NA,41,NA,NA,1,74.2019569832136
"Russell Wilson","QB",8.3,1.08,6,15,12,18,NA,61.7,105.9,85.5,119.5,NA,NA,NA,NA,1,NA,76.8497886355911
"Ryan Fitzpatrick","QB",120.2,10.12,NA,NA,NA,NA,23,NA,NA,NA,NA,152.7,2,16,NA,6,2,12.5763301811043
"Ryan Mathews","RB",64.6,6.05,31,21,26,13,20,70.5,42.7,48.7,20.4,44.4,6,30,10,35,25,22.130591221762
"Ryan Tannehill","QB",93.9,8.1,12,NA,NA,NA,NA,91.6,NA,NA,NA,NA,45,NA,9,NA,NA,22.6750428310671
"Sam Bradford","QB",152.8,13.09,10,NA,21,NA,14,80.9,NA,145.4,NA,98.8,30,NA,17,15,NA,15.136151436676
"Sammie Coates","WR",165,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Sammy Watkins","WR",43.6,4.08,26,39,NA,NA,NA,61.1,99.9,NA,NA,NA,22,16,NA,NA,NA,30.5336712822029
"Spencer Ware","RB",151.7,13.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24497848425308
"Stefon Diggs","WR",111.2,10.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4461548869341
"Sterling Shepard","WR",103.7,9.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9630518561304
"Steve Smith Sr.","WR",115.2,10.07,NA,NA,NA,NA,53,NA,NA,NA,NA,139.6,8,NA,NA,NA,NA,12.0664262480004
"Tajae Sharpe","WR",161.2,14.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Tavon Austin","WR",129.4,11.09,NA,56,32,NA,NA,NA,154.3,82.8,NA,NA,NA,1,28,NA,NA,12.3708612252616
"Teddy Bridgewater","QB",139.3,12.07,16,NA,NA,NA,NA,121.7,NA,NA,NA,NA,35,1,NA,NA,NA,16.6840064953801
"Ted Ginn Jr","WR",159.8,14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Tevin Coleman","RB",100.9,9.05,36,NA,NA,NA,NA,84.5,NA,NA,NA,NA,3,NA,NA,NA,NA,15.0994446467758
"Theo Riddick","RB",131.7,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12348758509148
