playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
100002,null,Ravens,DST,BAL,DST,BAL,-42.3488,94.4575,null,329,209,27,null,null,3.116,145.365,63.635,0.4133,108.1506,78.8,5.3856,13
2500351,null,Phil Dawson,K,SF,K,SF,-42.6104,112.4836,null,null,210,25,null,null,6.8797,160.135,49.865,0.8267,126.1259,97.9883,4.863,13
2532887,null,Jermaine Kearse,WR,SEA,WR,SEA,-42.7692,80.3932,null,219,211,64,null,null,1.0859,165.3425,45.6575,0.73,94.0029,51.2221,6.1482,19
100001,null,Falcons,DST,ATL,DST,ATL,-42.8686,93.9377,null,267,212,28,null,null,6.5937,160.025,51.975,0.6567,106.8459,62.5,5.5334,12
2552582,null,Jay Ajayi,RB,MIA,RB,MIA,-42.9279,91.5191,null,95,213,45,null,null,6.3347,87.5433,125.4567,5.5875,113.4709,42.82,6.9147,14
2505587,null,Anquan Boldin,WR,DET,WR,DET,-43.5825,79.5799,null,175,214,65,null,null,0.7232,157.7,56.3,1.3925,87.9851,0.2,6.6252,1
2543683,null,Austin Seferian-Jenkins,TE,TB,TE,TB,-43.9538,66.8619,null,169,215,26,null,null,4.1146,150.26,64.74,1.6875,76.7555,42.3935,8.0906,null
2555466,null,Tyler Boyd,WR,CIN,WR,CIN,-44.1279,79.0346,null,178,216,66,null,null,0.3959,153.636,62.364,2.0333,99.3495,41.8462,6.0462,10
2552463,null,Jaelen Strong,WR,HOU,WR,HOU,-44.4837,78.6788,null,202,217,67,null,null,0.6915,173.4433,43.5567,0.6667,108.582,31.93,7.8855,4
2507166,null,Ted Ginn,WR,CAR,WR,CAR,-44.5638,78.5987,null,183,218,68,null,null,1.4298,151.1725,66.8275,1.485,97.4513,58.9,5.3431,27
497206,null,James Starks,RB,GB,RB,GB,-45.6688,88.7782,null,163,219,46,null,null,7.8463,139.75,79.25,1.355,102.83,67.0519,3.4849,22
2555346,null,Will Fuller,WR,HOU,WR,HOU,-45.7866,77.3758,null,197,220,69,null,null,0.5384,143.1,76.9,2.4,95.6561,40.602,5.5016,8
