"name","pos","overall","pick","year","player","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
"LeSean McCoy","RB",31.2,3.07,2016,"LeSean McCoy",10,1,7,3,6,19.4,1.6,5.9,5.3,7.9
"Le'Veon Bell","RB",6.3,1.06,2016,"Le'Veon Bell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Mariota","QB",85.3,8.01,2016,"Marcus Mariota",22,NA,NA,NA,NA,155.5,NA,NA,NA,NA
"Mark Ingram","RB",30.2,3.06,2016,"Mark Ingram",14,40,35,36,22,28.4,94.7,82.8,88,46.8
"Markus Wheaton","WR",108.8,10.01,2016,"Markus Wheaton",37,48,60,NA,NA,90,122.9,158.5,NA,NA
"Martellus Bennett","TE",142.8,12.11,2016,"Martellus Bennett",5,12,18,NA,NA,64.8,117.8,152.8,NA,NA
"Marvin Jones","WR",98.2,9.02,2016,"Marvin Jones",56,NA,NA,NA,NA,140.4,NA,NA,NA,NA
"Matt Forte","RB",42.4,4.06,2016,"Matt Forte",9,4,11,6,13,14.6,4.2,12.1,10.3,23.5
"Matthew Stafford","QB",52.4,5.04,2016,"Matthew Stafford",11,4,8,4,11,87.9,39.2,66.7,12,78.1
"Matt Jones","RB",61,6.01,2016,"Matt Jones",51,NA,NA,NA,NA,132.7,NA,NA,NA,NA
"Matt Ryan","QB",76.8,7.05,2016,"Matt Ryan",8,7,6,6,9,74.6,62.6,54.5,34.2,61.3
"Melvin Gordon","RB",77.7,7.06,2016,"Melvin Gordon",20,NA,NA,NA,NA,39.8,NA,NA,NA,NA
"Michael Crabtree","WR",99.8,9.04,2016,"Michael Crabtree",58,22,62,44,41,143.2,52.4,159.6,114.8,108.6
"Michael Floyd","WR",64.8,6.05,2016,"Michael Floyd",51,21,43,NA,NA,127.2,49.5,112.3,NA,NA
"Michael Thomas","WR",156.8,14.01,2016,"Michael Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Evans","WR",27.4,3.03,2016,"Mike Evans",13,41,NA,NA,NA,30.3,105.5,NA,NA,NA
"Mike Wallace","WR",154.5,13.11,2016,"Mike Wallace",35,32,26,20,8,86.8,76.1,67.6,51.2,23.9
"Mohamed Sanu","WR",132.7,12.01,2016,"Mohamed Sanu",NA,NA,57,NA,NA,NA,NA,150.7,NA,NA
"Odell Beckham Jr","WR",3.5,1.03,2016,"Odell Beckham Jr",5,NA,NA,NA,NA,14.3,NA,NA,NA,NA
"Paul Perkins","RB",161.2,14.05,2016,"Paul Perkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philip Rivers","QB",42.1,4.06,2016,"Philip Rivers",14,14,24,11,4,110.1,103.1,159.7,73.1,25.1
"Phillip Dorsett","WR",160.3,14.04,2016,"Phillip Dorsett",63,NA,NA,NA,NA,158.2,NA,NA,NA,NA
"Pierre Garcon","WR",162.7,14.07,2016,"Pierre Garcon",49,20,18,30,34,123.7,48.2,48.8,75.6,92.9
"Randall Cobb","WR",47.1,4.11,2016,"Randall Cobb",8,10,9,NA,NA,19,28.1,32,NA,NA
"Rashad Jennings","RB",94.4,8.1,2016,"Rashad Jennings",30,18,NA,NA,NA,67.8,36.4,NA,NA,NA
"Rishard Matthews","WR",157.2,14.01,2016,"Rishard Matthews",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Griffin III","QB",138.6,12.07,2016,"Robert Griffin III",NA,13,10,14,NA,NA,100.2,74.8,94.9,NA
"Rob Gronkowski","TE",17.4,2.05,2016,"Rob Gronkowski",1,3,2,2,10,12.2,30,44.4,19.7,98.1
"Russell Wilson","QB",8.3,1.08,2016,"Russell Wilson",6,15,12,18,NA,61.7,105.9,85.5,119.5,NA
"Ryan Fitzpatrick","QB",120.2,10.12,2016,"Ryan Fitzpatrick",NA,NA,NA,NA,23,NA,NA,NA,NA,152.7
"Ryan Mathews","RB",64.6,6.05,2016,"Ryan Mathews",31,21,26,13,20,70.5,42.7,48.7,20.4,44.4
"Ryan Tannehill","QB",93.9,8.1,2016,"Ryan Tannehill",12,NA,NA,NA,NA,91.6,NA,NA,NA,NA
"Sam Bradford","QB",152.8,13.09,2016,"Sam Bradford",10,NA,21,NA,14,80.9,NA,145.4,NA,98.8
"Sammie Coates","WR",165,14.09,2016,"Sammie Coates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sammy Watkins","WR",43.6,4.08,2016,"Sammy Watkins",26,39,NA,NA,NA,61.1,99.9,NA,NA,NA
"Spencer Ware","RB",151.7,13.08,2016,"Spencer Ware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefon Diggs","WR",111.2,10.03,2016,"Stefon Diggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sterling Shepard","WR",103.7,9.08,2016,"Sterling Shepard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steve Smith","WR",115.2,10.07,2016,"Steve Smith Sr.",NA,NA,NA,NA,53,NA,NA,NA,NA,139.6
"Tajae Sharpe","WR",161.2,14.05,2016,"Tajae Sharpe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tavon Austin","WR",129.4,11.09,2016,"Tavon Austin",NA,56,32,NA,NA,NA,154.3,82.8,NA,NA
"Teddy Bridgewater","QB",139.3,12.07,2016,"Teddy Bridgewater",16,NA,NA,NA,NA,121.7,NA,NA,NA,NA
"Ted Ginn Jr","WR",159.8,14.04,2016,"Ted Ginn Jr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tevin Coleman","RB",100.9,9.05,2016,"Tevin Coleman",36,NA,NA,NA,NA,84.5,NA,NA,NA,NA
"Theo Riddick","RB",131.7,11.12,2016,"Theo Riddick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas Rawls","RB",37,4.01,2016,"Thomas Rawls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Yeldon","RB",100.3,9.04,2016,"T.J. Yeldon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Todd Gurley","RB",6.3,1.06,2016,"Todd Gurley",26,NA,NA,NA,NA,54,NA,NA,NA,NA
"Tom Brady","QB",27.1,3.03,2016,"Tom Brady",7,6,4,2,3,64.4,52.4,42.5,4.6,18.8
"Tony Romo","QB",44,4.08,2016,"Tony Romo",9,10,11,10,6,77.4,83,79.7,62.6,41.4
"Torrey Smith","WR",117.6,10.1,2016,"Torrey Smith",50,25,20,23,NA,124.4,59.6,53.8,61.8,NA
"Travis Benjamin","WR",123.8,11.04,2016,"Travis Benjamin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE",78.8,7.07,2016,"Travis Kelce",4,18,NA,NA,NA,55.7,154.2,NA,NA,NA
"T.Y. Hilton","WR",38.2,4.02,2016,"T.Y. Hilton",9,24,25,NA,NA,23.8,58.7,63.3,NA,NA
"Tyler Boyd","WR",155.7,13.12,2016,"Tyler Boyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Eifert","TE",76.3,7.04,2016,"Tyler Eifert",9,NA,17,NA,NA,98.2,NA,152.1,NA,NA
"Tyler Lockett","WR",87,8.03,2016,"Tyler Lockett",61,NA,NA,NA,NA,153.5,NA,NA,NA,NA
"Tyrod Taylor","QB",73.6,7.02,2016,"Tyrod Taylor",20,NA,NA,NA,NA,147.3,NA,NA,NA,NA
"Victor Cruz","WR",150.8,13.07,2016,"Victor Cruz",34,17,11,10,NA,83.2,43.3,36.5,32.5,NA
"Vincent Jackson","WR",138.9,12.07,2016,"Vincent Jackson",31,13,12,27,5,73.9,35.5,38.4,67.8,18
"Will Fuller","WR",158.9,14.03,2016,"Will Fuller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willie Snead","WR",130.1,11.1,2016,"Willie Snead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Ertz","TE",126.9,11.07,2016,"Zach Ertz",13,11,NA,NA,NA,132.2,96.3,NA,NA,NA
"Zach Miller","TE",159.1,14.03,2016,"Zach Miller",NA,NA,NA,NA,12,NA,NA,NA,NA,121.4
