"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2013,"Olson","Broncos D/ST","BRONCOS ","D/ST",1,0,NA,NA,1,NA,NA,120.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Thieneman","Broncos D/ST","BRONCOS ","D/ST",1,0,1,NA,NA,1,NA,114.4,3,6,NA,NA,NA,NA,120.6,NA,NA,NA,NA
2015,"Skrzyskewski","Broncos D/ST","BRONCOS ","D/ST",1,0,1,1,NA,NA,1,153.2,10,3,6,NA,NA,NA,114.4,120.6,NA,NA,NA
2013,"Skrzyskewski","Bryce Brown","PHI","RB",8,0,NA,NA,NA,NA,NA,98.6,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Matovina","Buccaneers D/ST","BUCCANEERS ","D/ST",1,0,NA,NA,NA,NA,NA,164.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Buccaneers D/ST","BUCCANEERS ","D/ST",1,0,1,NA,NA,NA,NA,159.7,10,13.5,NA,NA,NA,NA,164.5,NA,NA,NA,NA
2010,"Regan","Cadillac Williams","TB","RB",1,0,NA,NA,NA,NA,NA,86.2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Matovina","Caleb Sturgis","FA","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Ready","Calvin Johnson","DET","WR",49,0,NA,NA,NA,NA,NA,12.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","Calvin Johnson","DET","WR",70,0,49,NA,NA,NA,NA,10.8,2,4,NA,NA,NA,NA,12.6,NA,NA,NA,NA
2013,"Ready","Calvin Johnson","DET","WR",79,0,NA,70,49,NA,NA,9.1,1,1,2,4,NA,NA,5.9,10.8,12.6,NA,NA
2014,"Thieneman","Calvin Johnson","DET","WR",78,0,79,NA,70,49,NA,5.5,1,1,1,2,4,NA,9.1,5.9,10.8,12.6,NA
2015,"Hartman","Calvin Johnson","DET","WR",76,0,78,79,NA,70,49,15.8,6,1,1,1,2,4,5.5,9.1,5.9,10.8,12.6
2011,"Harrington","Cam Newton","CAR","QB",1,0,NA,NA,NA,NA,NA,153.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Skrzyskewski","Cardinals D/ST","CARDINALS ","D/ST",1,0,NA,NA,NA,NA,NA,138.6,7,11,NA,NA,NA,NA,157,NA,NA,NA,NA
2015,"Hartman","Cardinals D/ST","CARDINALS ","D/ST",1,0,1,NA,NA,NA,NA,143.8,7,7,11,NA,NA,NA,138.6,157,NA,NA,NA
2014,"Shokunbi","Carlos Hyde","SF","RB",9,0,NA,NA,NA,NA,NA,90.2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Kane","Carson Palmer","CIN","QB",6,0,NA,NA,NA,NA,NA,98.2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hartman","Carson Palmer","OAK","QB",8,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Shokunbi","Carson Palmer","ARI","QB",24,0,8,NA,6,NA,NA,126.5,17,NA,NA,14,NA,NA,NA,NA,98.2,NA,NA
2014,"Matovina","Carson Palmer","ARI","QB",23,0,24,8,NA,6,NA,129.8,18,17,NA,NA,14,NA,126.5,NA,NA,98.2,NA
2015,"Ready","Carson Palmer","ARI","QB",10,0,23,24,8,NA,6,128.8,17,18,17,NA,NA,14,129.8,126.5,NA,NA,98.2
2014,"Matovina","Cecil Shorts","JAC","WR",14,0,NA,NA,NA,NA,NA,131.2,52,30,NA,NA,NA,NA,77.5,NA,NA,NA,NA
2010,"McShane","Cedric Benson","CIN","RB",46,0,NA,NA,NA,NA,NA,31.7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Olson","Cedric Benson","CIN","RB",19,0,46,NA,NA,NA,NA,65.9,27,14,NA,NA,NA,NA,31.7,NA,NA,NA,NA
2012,"Harrington","Cedric Benson","GB","RB",7,0,19,46,NA,NA,NA,57.2,25,27,14,NA,NA,NA,65.9,31.7,NA,NA,NA
2010,"Shokunbi","Chad Henne","MIA","QB",8,0,NA,NA,NA,NA,NA,128.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Skrzyskewski","Chad Ochocinco","CIN","WR",28,0,NA,NA,NA,NA,NA,45.2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Shokunbi","Chad Ochocinco","NE","WR",29,0,28,NA,NA,NA,NA,49.6,19,17,NA,NA,NA,NA,45.2,NA,NA,NA,NA
2011,"Regan","Chargers D/ST","SD","D/ST",1,0,NA,NA,NA,NA,NA,149.6,11,13,NA,NA,NA,NA,163.4,NA,NA,NA,NA
2014,"Hartman","Charles Clay","MIA","TE",1,0,NA,NA,NA,NA,NA,149.9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Skrzyskewski","Charles Johnson","MIN","WR",21,0,NA,NA,NA,NA,NA,67.3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
