"","player","year","pos","value","lag1_value","lag2_value","lag3_value","lag4_value","lag5_value"
"318","Terrance Williams",2016,"WR",NA,NA,6,NA,NA,NA
"319","Terrell Owens",2016,"WR",NA,NA,NA,NA,NA,2
"320","Tevin Coleman",2016,"RB",NA,3,NA,NA,NA,NA
"321","Thomas Jones",2016,"RB",NA,NA,NA,NA,NA,2
"322","Tiki Barber",2016,"RB",NA,NA,NA,NA,NA,4
"323","Tim Hightower",2016,"RB",NA,NA,NA,NA,NA,29
"324","Tim Tebow",2016,"QB",NA,NA,NA,NA,2,NA
"325","Titus Young",2016,"WR",NA,NA,NA,NA,4,2
"326","T.J. Houshmandzadeh",2016,"WR",NA,NA,NA,NA,NA,NA
"327","T.J. Yeldon",2016,"RB",NA,20,NA,NA,NA,NA
"328","Toby Gerhart",2016,"RB",NA,NA,20,NA,7,NA
"329","Todd Gurley",2016,"RB",NA,13,NA,NA,NA,NA
"330","Tom Brady",2016,"QB",NA,87,68,93,108,NA
"331","Tony Gonzalez",2016,"TE",NA,NA,NA,20,8,6
"332","Tony Romo",2016,"QB",NA,70,64,67,48,40
"333","Torrey Smith",2016,"WR",NA,4,25,31,NA,NA
"334","Travis Kelce",2016,"TE",NA,17,NA,NA,NA,NA
"335","Tre Mason",2016,"RB",NA,3,NA,NA,NA,NA
"336","Trent Richardson",2016,"RB",NA,NA,4,NA,24,NA
"337","Troy Williamson",2016,"WR",NA,NA,NA,NA,NA,NA
"338","T.Y. Hilton",2016,"WR",NA,57,15,7,NA,NA
"339","Tyler Eifert",2016,"TE",NA,5,NA,NA,NA,NA
"340","Tyrod Taylor",2016,"QB",NA,7,NA,NA,NA,NA
"341","Vernon Davis",2016,"TE",NA,NA,24,15,24,17
"342","Vick Ballard",2016,"RB",NA,NA,NA,7,NA,NA
"343","Victor Cruz",2016,"WR",NA,1,42,36,36,NA
"344","Vincent Brown",2016,"WR",NA,NA,NA,2,NA,NA
"345","Vincent Jackson",2016,"WR",NA,15,42,36,26,55
"346","Vince Young",2016,"QB",NA,NA,NA,NA,NA,NA
"347","Visanthe Shiancoe",2016,"TE",NA,NA,NA,NA,NA,NA
"348","Wes Welker",2016,"WR",NA,NA,4,26,NA,NA
"349","Willis McGahee",2016,"RB",NA,NA,NA,NA,23,1
"350","Zach Ertz",2016,"TE",NA,4,NA,NA,NA,NA
"351","Zach Miller",2016,"TE",NA,NA,NA,NA,NA,2
