"","X","year","owner","player","team","pos","value","keeper","first_name","lag1","lag2","lag3","lag4","lag5"
"150",964,2015,"Hartman","Calvin Johnson","Det","WR",76,0,"Calvin",78,79,NA,70,49
"151",234,2011,"Harrington","Cam Newton","Car","QB",1,0,"Cam",NA,NA,NA,NA,NA
"152",936,2014,"Skrzyskewski","Cardinals D/ST","Cardinals ","D/ST",1,0,"Cardinals",NA,NA,NA,NA,NA
"153",973,2015,"Hartman","Cardinals D/ST","Cardinals ","D/ST",1,0,"Cardinals",1,NA,NA,NA,NA
"154",862,2014,"Shokunbi","Carlos Hyde","SF","RB",9,0,"Carlos",NA,NA,NA,NA,NA
"155",25,2010,"Kane","Carson Palmer","Cin","QB",6,0,"Carson",NA,NA,NA,NA,NA
"156",393,2012,"Hartman","Carson Palmer","Oak","QB",8,0,"Carson",NA,6,NA,NA,NA
"157",665,2013,"Shokunbi","Carson Palmer","Ari","QB",24,0,"Carson",8,NA,6,NA,NA
"158",901,2014,"Matovina","Carson Palmer","Ari","QB",23,0,"Carson",24,8,NA,6,NA
"159",1110,2015,"Ready","Carson Palmer","Ari","QB",10,0,"Carson",23,24,8,NA,6
"160",903,2014,"Matovina","Cecil Shorts","Jac","WR",14,0,"Cecil",NA,NA,NA,NA,NA
"161",98,2010,"McShane","Cedric Benson","Cin","RB",46,0,"Cedric",NA,NA,NA,NA,NA
"162",377,2011,"Olson","Cedric Benson","Cin","RB",19,0,"Cedric",46,NA,NA,NA,NA
"163",429,2012,"Harrington","Cedric Benson","GB","RB",7,0,"Cedric",19,46,NA,NA,NA
"164",89,2010,"Shokunbi","Chad Henne","Mia","QB",8,0,"Chad",NA,NA,NA,NA,NA
"165",163,2010,"Skrzyskewski","Chad Ochocinco","Cin","WR",28,0,"Chad",NA,NA,NA,NA,NA
"166",282,2011,"Shokunbi","Chad Ochocinco","NE","WR",29,0,"Chad",28,NA,NA,NA,NA
"167",269,2011,"Regan","Chargers D/ST","SD","D/ST",1,0,"Chargers",NA,NA,NA,NA,NA
"168",782,2014,"Hartman","Charles Clay","Mia","TE",1,0,"Charles",NA,NA,NA,NA,NA
"169",1129,2015,"Skrzyskewski","Charles Johnson","Min","WR",21,0,"Charles",NA,NA,NA,NA,NA
"170",990,2015,"Kane","Charles Sims","TB","RB",1,0,"Charles",NA,NA,NA,NA,NA
"171",139,2010,"Matovina","Chaz Schilens","Oak","WR",1,0,"Chaz",NA,NA,NA,NA,NA
"172",190,2010,"Olson","Chester Taylor","Chi","RB",1,0,"Chester",NA,NA,NA,NA,NA
"173",431,2012,"Harrington","Chiefs D/ST","KC","D/ST",1,0,"Chiefs",NA,NA,NA,NA,NA
"174",911,2014,"Matovina","Chiefs D/ST","Chiefs ","D/ST",1,0,"Chiefs",NA,1,NA,NA,NA
"175",92,2010,"Shokunbi","Chris Cooley","Was","TE",10,0,"Chris",NA,NA,NA,NA,NA
"176",224,2011,"Kane","Chris Cooley","Wsh","TE",1,0,"Chris",10,NA,NA,NA,NA
"177",763,2013,"Olson","Chris Givens","StL","WR",3,0,"Chris",NA,NA,NA,NA,NA
"178",601,2013,"Kane","Chris Ivory","NYJ","RB",16,0,"Chris",NA,NA,NA,NA,NA
"179",842,2014,"Regan","Chris Ivory","NYJ","RB",1,0,"Chris",16,NA,NA,NA,NA
"180",1017,2015,"Higdon","Chris Ivory","NYJ","RB",16,0,"Chris",1,16,NA,NA,NA
"181",33,2010,"Harrington","Chris Johnson","Ten","RB",114,0,"Chris",NA,NA,NA,NA,NA
"182",227,2011,"Harrington","Chris Johnson","Ten","RB",95,0,"Chris",114,NA,NA,NA,NA
"183",515,2012,"Matovina","Chris Johnson","Ten","RB",74,0,"Chris",95,114,NA,NA,NA
"184",643,2013,"Regan","Chris Johnson","NYJ","RB",60,0,"Chris",74,95,114,NA,NA
"185",807,2014,"Harrington","Chris Johnson","NYJ","RB",7,0,"Chris",60,74,95,114,NA
"186",448,2012,"Higdon","Christian Ponder","Min","QB",1,0,"Christian",NA,NA,NA,NA,NA
"187",639,2013,"Higdon","Christian Ponder","Min","QB",7,0,"Christian",1,NA,NA,NA,NA
"188",714,2013,"Matovina","Christine Michael","Sea","RB",1,0,"Christine",NA,NA,NA,NA,NA
"189",797,2014,"Kane","C.J. Anderson","Den","RB",1,0,"C.J.",NA,NA,NA,NA,NA
"190",171,2010,"Skrzyskewski","C.J. Spiller","Buf","RB",17,0,"C.J.",NA,NA,NA,NA,NA
"191",316,2011,"Thieneman","C.J. Spiller","Buf","RB",1,0,"C.J.",17,NA,NA,NA,NA
"192",426,2012,"Harrington","C.J. Spiller","Buf","RB",10,0,"C.J.",1,17,NA,NA,NA
"193",707,2013,"Matovina","C.J. Spiller","Buf","RB",96,0,"C.J.",10,1,17,NA,NA
"194",790,2014,"Kane","C.J. Spiller","Buf","RB",35,0,"C.J.",96,10,1,17,NA
