"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"141","Vincent Jackson","WR",138.9,12.07,31,13,12,27,5,73.9,35.5,38.4,67.8,18,15,42,36,26,55,14.8972637465939,8.30170769230769
"142","Teddy Bridgewater","QB",139.3,12.07,16,NA,NA,NA,NA,121.7,NA,NA,NA,NA,35,1,NA,NA,NA,16.6840064953801,16.2987
"143","James White","RB",139.6,12.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83291631322101,2.33933846153846
"144","Devontae Booker","RB",141.1,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78606755068022,6.05966923076923
"145","Martellus Bennett","TE",142.8,12.11,5,12,18,NA,NA,64.8,117.8,152.8,NA,NA,14,1,1,NA,NA,14.5193716033121,7.55590769230769
"146","Jason Witten","TE",143.1,12.11,8,6,4,8,3,89.7,68.6,58.6,79,48.1,16,27,21,8,15,19.1914551346113,7.63123076923077
"147","Alex Smith","QB",143.9,12.12,NA,NA,22,NA,NA,NA,NA,156.3,NA,NA,14,13,10,12,NA,12.7091093569261,19.4882384615385
"148","James Starks","RB",144.8,13.01,61,NA,NA,NA,36,158.2,NA,NA,NA,90.4,NA,1,NA,1,10,11.1729747362351,6.82909230769231
"149","Bilal Powell","RB",145.4,13.01,NA,NA,52,NA,NA,NA,NA,138.6,NA,NA,NA,NA,NA,NA,NA,9.15710663739411,7.95783846153846
"150","DeAndre Washington","RB",148.6,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26451616024726,5.23953846153846
"151","Victor Cruz","WR",150.8,13.07,34,17,11,10,NA,83.2,43.3,36.5,32.5,NA,1,42,36,36,NA,15.5607589328587,4.65917692307692
"152","Spencer Ware","RB",151.7,13.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24497848425308,5.10896923076923
"153","Dwayne Allen","TE",152.1,13.08,14,NA,NA,NA,NA,136.9,NA,NA,NA,NA,1,NA,NA,NA,NA,10.3841338891289,7.44768461538462
